"","LotArea","Neighborhood","OverallQual","OverallCond","YearBuilt","TotalBsmtSF","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","HalfBath","Fireplaces","GarageArea","PoolArea","EnclosedPorch","OpenPorchSF","SalePrice"
"39",2544,"Somerst",7,5,2004,600,"Y",600,600,1200,2,1,0,480,0,0,172,146991
"40",2544,"Somerst",6,5,2005,600,"Y",600,636,1236,2,1,0,480,0,0,166,150306
"41",2980,"Somerst",6,5,2000,756,"Y",756,756,1512,2,1,0,440,0,0,32,151164
"42",2403,"Somerst",7,5,2003,530,"Y",530,550,1080,2,1,0,496,0,0,50,151133
"43",12853,"Somerst",8,5,2010,1642,"Y",1418,NA,1418,1,1,1,852,0,0,192,156214
"44",7379,"Somerst",8,5,2000,975,"Y",975,873,1848,2,1,1,592,0,0,184,171992
"45",8000,"Somerst",7,5,2002,1492,"Y",1492,NA,1492,2,0,1,596,0,0,137,173214
"46",10456,"NWAmes",6,6,1967,1829,"Y",1829,NA,1829,2,0,0,535,0,0,76,192429
"47",10791,"NWAmes",6,5,1993,1280,"Y",1280,1215,2495,2,1,1,660,0,0,32,190878
"48",18837,"NWAmes",6,5,1978,1224,"Y",1287,604,1891,3,0,1,678,0,0,69,194542
"49",9600,"NWAmes",6,6,1971,715,"Y",930,715,1645,1,2,0,441,0,0,78,191849
"50",9600,"NAmes",5,5,1966,1232,"Y",1232,NA,1232,1,1,0,490,0,0,224,176363
"51",9900,"NAmes",5,5,1966,1209,"Y",1209,NA,1209,1,0,0,504,0,120,0,176954
"52",9680,"NAmes",5,6,1967,1510,"Y",1510,NA,1510,2,0,0,517,0,0,40,176521
"53",10600,"NAmes",6,5,1964,533,"Y",1131,644,1775,2,0,0,480,0,0,172,179436
"54",13260,"NAmes",5,6,1962,1728,"Y",1728,NA,1728,2,0,0,0,0,0,0,220079
"55",9724,"NAmes",5,7,1952,1140,"Y",1929,532,2461,2,0,2,400,0,0,0,175502
"56",17360,"NAmes",6,6,1949,782,"Y",1019,537,1556,2,0,1,470,0,150,0,188321
"57",11380,"NAmes",6,8,1966,1080,"Y",1128,NA,1128,1,0,1,315,0,0,0,163276
"58",8267,"NAmes",5,5,1958,1604,"Y",1604,0,1604,2,0,0,576,0,0,0,185911
"59",8197,"NAmes",7,5,2003,1480,"Y",1480,NA,1480,2,0,0,620,0,0,73,171392
"60",8050,"NAmes",5,5,1959,1143,"Y",1143,NA,1143,1,0,0,308,0,0,0,174418
"61",10725,"NAmes",5,5,1959,1206,"Y",1206,0,1206,1,0,0,312,0,0,21,179682
"62",10032,"NAmes",6,5,1959,1244,"Y",1580,NA,1580,1,1,2,440,0,0,28,179423
"63",8382,"NAmes",4,5,1956,832,"Y",832,505,1337,1,0,0,263,0,0,0,171756
"64",10950,"NAmes",5,7,1952,864,"Y",1064,0,1064,1,0,0,318,0,0,0,166849
"65",10895,"NAmes",5,6,1955,972,"Y",972,0,972,1,0,0,305,0,205,0,181122
"66",13587,"NAmes",5,5,1958,988,"Y",988,NA,988,1,0,0,264,0,0,0,170934
"67",7898,"NAmes",4,7,1920,576,"Y",985,0,985,1,0,0,676,0,0,0,159738
"68",8064,"NAmes",6,8,1948,816,"Y",816,408,1224,1,0,0,280,0,0,0,174445
"69",7635,"NAmes",5,6,1960,1175,"Y",1175,0,1175,1,1,0,484,0,0,0,174706
"70",9760,"NAmes",6,7,1963,1395,"Y",1395,NA,1395,1,0,1,440,0,113,0,164507
"71",4800,"OldTown",4,5,1900,709,"Y",1157,687,1844,1,0,2,240,0,0,0,163602
"72",4485,"OldTown",5,7,1920,936,"Y",936,NA,936,1,0,1,0,0,135,0,154126
"73",5805,"OldTown",5,7,1957,1347,"Y",1347,NA,1347,1,0,0,551,0,0,0,171104
"74",6900,"OldTown",6,7,1938,827,"Y",827,424,1251,1,0,0,240,0,0,0,167735
"75",11851,"OldTown",5,7,1948,1027,"Y",1027,606,1633,1,0,1,240,0,126,100,183003
"76",8239,"OldTown",5,6,1920,1008,"Y",1060,185,1245,1,0,0,315,0,334,0,172580
"77",9656,"OldTown",2,2,1923,678,"N",832,0,832,1,0,1,780,0,0,0,165407
"78",9600,"OldTown",8,9,1900,930,"N",930,636,1566,2,0,0,288,0,246,228,176363
"79",9000,"OldTown",8,9,1890,346,"Y",1157,1111,2268,3,0,0,624,0,0,108,175182
"80",9045,"OldTown",5,3,1910,840,"N",1128,1128,2256,2,0,0,0,0,18,18,190757
"81",10560,"OldTown",6,7,1922,738,"Y",868,602,1470,1,1,0,624,0,0,0,167186
"82",5830,"BrkSide",5,6,1950,988,"Y",1030,582,1612,1,1,0,363,0,0,0,167839
"83",7793,"BrkSide",7,7,1922,1108,"N",1160,908,2068,1,1,1,315,0,60,0,173912
"84",5000,"BrkSide",4,7,1925,765,"N",765,NA,765,1,0,0,200,0,41,0,154034
"85",6000,"BrkSide",6,7,1939,608,"Y",608,524,1132,1,0,0,240,0,128,0,156002
"86",6000,"BrkSide",6,6,1940,572,"Y",848,348,1196,1,1,2,576,0,0,0,168173
"87",6360,"BrkSide",5,6,1942,835,"Y",955,498,1453,1,1,2,240,0,35,0,168882
"88",6000,"BrkSide",6,7,1948,780,"Y",780,636,1416,1,1,0,312,0,48,0,168173
"89",6240,"BrkSide",5,7,1936,528,"Y",548,492,1040,1,0,0,624,0,32,0,157580
"90",6240,"BrkSide",5,5,1930,928,"Y",928,608,1536,2,0,1,480,0,0,10,181922
"91",6120,"OldTown",6,5,1923,1124,"Y",1068,NA,1068,1,0,1,288,0,128,0,155134
"92",8094,"OldTown",4,5,1915,888,"Y",888,1074,1962,1,1,1,572,0,364,0,188885
"93",12900,"OldTown",6,8,1912,780,"Y",780,780,1560,1,1,0,0,0,0,0,183963
"94",3068,"OldTown",6,8,1920,662,"Y",662,662,1324,1,0,0,180,0,112,0,161298
"95",15263,"ClearCr",5,5,1959,1422,"Y",1675,0,1675,2,0,2,365,0,0,132,188613
"96",10632,"ClearCr",5,3,1917,689,"N",725,499,1224,1,1,0,180,0,248,0,175080
"97",9900,"SWISU",5,4,1915,1212,"N",1212,180,1392,1,0,0,0,0,168,0,174744
"98",6001,"SWISU",6,5,1940,600,"N",600,319,919,1,0,0,231,0,45,0,168175
"99",6449,"SWISU",4,1,1907,707,"N",942,942,1884,1,1,0,0,0,239,0,182333
"100",6048,"SWISU",5,7,1910,856,"Y",936,744,1680,2,0,1,450,0,0,144,158307
"101",10773,"Sawyer",4,3,1967,1832,"N",1832,NA,1832,2,0,0,0,0,0,58,193053
"102",7800,"Sawyer",5,7,1966,864,"Y",892,NA,892,1,0,0,416,0,0,0,175031
"103",7832,"Sawyer",5,5,1968,864,"Y",864,NA,864,1,0,0,280,0,0,0,160713
"104",7424,"Sawyer",5,5,1978,1319,"Y",1373,NA,1373,1,0,2,591,0,0,0,173186
"105",11227,"Sawyer",5,5,1968,720,"Y",720,720,1440,1,1,2,480,0,0,38,191736
"106",20062,"ClearCr",7,7,1977,1420,"Y",1483,NA,1483,1,1,2,690,0,0,0,170401
"107",9259,"Sawyer",4,4,1927,660,"N",756,0,756,1,0,0,440,0,0,0,164626
"108",17082,"ClearCr",6,5,1978,1117,"Y",1117,864,1981,2,1,1,522,0,0,104,205469
"109",18600,"Edwards",3,4,1938,972,"Y",1052,558,1610,2,0,1,480,0,60,0,209561
"110",11479,"Edwards",6,7,1950,663,"Y",1074,NA,1074,1,0,1,467,0,52,52,182271
"111",9350,"Edwards",4,6,1947,756,"Y",1169,0,1531,1,0,1,209,0,0,0,178081
"112",9525,"Edwards",5,7,1954,1172,"Y",1172,NA,1172,1,0,0,366,0,0,0,178425
"113",17485,"Edwards",7,5,2009,1508,"Y",1508,NA,1508,1,0,2,572,0,0,0,162015
"114",11200,"Edwards",5,3,1964,1250,"Y",1298,0,1298,2,0,0,504,0,0,144,181722
"115",11980,"SawyerW",7,5,1987,1433,"Y",1433,NA,1433,1,1,2,528,0,0,278,156705
"116",12361,"SawyerW",6,7,1993,946,"Y",964,838,1802,2,1,1,1017,0,0,92,182902
"117",7360,"CollgCr",7,5,2010,1222,"Y",1222,0,1222,2,0,0,615,0,0,54,157574
"118",14235,"SawyerW",6,8,1900,676,"Y",831,614,1445,2,0,0,484,0,0,59,184380
"119",11105,"CollgCr",5,5,1996,870,"Y",965,NA,965,1,0,0,580,0,0,0,169364
"120",9337,"CollgCr",7,5,1997,878,"Y",892,800,1692,2,1,1,513,0,0,39,175846
"121",15240,"CollgCr",5,8,1977,1026,"Y",1026,NA,1026,1,1,0,308,0,0,85,189673
"122",7480,"CollgCr",5,6,1972,876,"Y",876,NA,876,1,0,0,484,0,0,0,174401
"123",10389,"CollgCr",8,5,2003,1978,"Y",1978,NA,1978,2,1,1,850,0,0,25,179021
"124",9375,"CollgCr",7,5,1997,1040,"Y",1044,1054,2098,2,1,1,621,0,0,38,189196
"125",4435,"CollgCr",6,5,2003,848,"Y",848,NA,848,1,0,0,420,0,0,0,139647
"126",8777,"Edwards",3,6,1945,NA,"N",640,0,640,1,0,0,240,0,0,0,161468
"127",8842,"Edwards",5,6,1954,381,"Y",992,0,992,1,0,0,319,0,56,0,171557
"128",10044,"Edwards",5,6,1968,1196,"Y",1196,NA,1196,1,0,0,336,0,168,0,179447
"129",11792,"Edwards",4,5,1948,744,"N",792,328,1120,1,0,0,480,0,0,0,169611
"130",6305,"Edwards",6,6,1975,1008,"Y",1096,NA,1096,1,0,1,352,0,0,0,172088
"131",6410,"Edwards",4,5,1958,960,"Y",960,0,960,1,0,0,0,0,0,0,171190
"132",4853,"SWISU",5,6,1924,1107,"N",1296,0,1296,2,0,1,260,0,36,0,154850
"133",7890,"SWISU",6,6,1939,856,"Y",856,NA,856,1,0,1,399,0,0,0,158617
"134",7200,"SWISU",4,6,1967,NA,"Y",862,1788,2650,3,0,0,0,0,0,0,209258
"135",9839,"SWISU",5,2,1931,894,"Y",894,772,1666,1,0,1,0,0,0,156,177939
"136",10452,"Crawfor",7,6,1941,1528,"Y",1225,908,2133,1,1,2,312,0,86,0,194631
"137",15600,"Crawfor",5,6,1950,1032,"Y",1102,1075,2177,2,1,0,484,0,0,0,213618
"138",19645,"Crawfor",7,6,1994,423,"Y",896,756,1652,2,1,0,473,0,0,0,198342
"139",3907,"Blueste",8,6,1989,982,"Y",1034,NA,1034,1,0,1,598,0,0,36,138607
"140",3907,"Blueste",8,5,1989,1191,"Y",1191,0,1191,2,0,1,531,0,0,81,150778
"141",8154,"IDOTRR",2,5,1941,480,"Y",540,0,540,1,0,0,200,0,0,0,146966
"142",9140,"IDOTRR",6,5,1921,629,"Y",727,380,1107,1,0,0,625,0,0,56,162182
"143",8712,"IDOTRR",4,7,1896,756,"Y",952,0,952,1,0,0,330,0,265,0,176825
"144",3811,"Crawfor",8,5,2004,1594,"Y",1646,NA,1646,2,0,1,525,0,0,53,152799
"145",11050,"Mitchel",8,5,1998,1049,"Y",1036,880,1916,2,1,1,741,0,0,70,180322
"146",9620,"Mitchel",6,7,1977,1243,"Y",1285,0,1285,2,0,1,473,0,0,26,177508
"147",12760,"Mitchel",6,5,1976,1958,"Y",2048,0,2048,3,0,0,776,0,0,0,208029
"148",11896,"Timber",7,5,2008,1336,"Y",1346,NA,1346,2,0,1,660,0,0,48,181987
"149",9803,"Timber",7,5,2009,1214,"Y",1214,0,1214,2,0,0,520,0,0,25,160172
"150",9802,"Timber",5,5,2006,384,"Y",744,700,1444,2,1,0,400,0,0,0,176761
"151",15300,"Mitchel",5,5,1965,1068,"Y",1264,NA,1264,1,0,1,528,0,0,0,176515
"152",10114,"Mitchel",5,5,2004,1430,"Y",1430,0,1430,2,0,0,624,0,0,0,176270
"153",11875,"Mitchel",5,5,1999,1344,"Y",1344,0,1344,2,0,1,686,0,0,0,183050
"154",2394,"MeadowV",5,6,1973,945,"Y",945,NA,945,1,0,1,253,0,56,0,150011
"155",1476,"MeadowV",4,7,1970,546,"Y",546,546,1092,1,1,0,0,0,0,26,159270
"156",1900,"MeadowV",4,4,1970,546,"Y",546,546,1092,1,1,0,0,0,0,0,163419
"157",1890,"MeadowV",4,6,1972,546,"Y",546,546,1092,1,1,0,286,0,64,0,163399
"158",6953,"Mitchel",5,7,1971,864,"Y",874,0,874,1,0,0,352,0,0,0,173364
"159",12887,"Mitchel",5,7,1984,833,"Y",833,NA,833,1,0,0,495,0,0,0,169556
"160",7700,"Mitchel",5,2,1985,1216,"Y",1216,1216,2432,4,2,0,616,0,0,0,183690
"161",10475,"Mitchel",5,5,1991,624,"Y",624,650,1274,1,1,0,576,0,0,0,176980
"162",10544,"Mitchel",5,5,1969,864,"Y",864,615,1479,2,0,0,275,0,280,0,204773
"163",9892,"Mitchel",8,5,1994,1679,"Y",1803,NA,1803,2,1,2,482,0,222,64,174728
"164",12961,"Mitchel",6,5,1993,1152,"Y",1152,645,1797,2,1,1,616,0,0,312,181873
"165",13008,"NAmes",6,5,1956,882,"Y",882,0,882,1,0,0,502,0,0,0,177322
"166",10200,"NAmes",6,5,1974,1434,"Y",1434,NA,1434,2,0,1,528,0,0,21,193927
"167",10179,"Gilbert",6,5,1997,945,"Y",945,663,1608,2,1,1,470,0,0,30,181715
"168",11792,"Gilbert",8,5,2003,1008,"Y",1008,1275,2283,2,1,1,632,0,0,46,199270
"169",8400,"Gilbert",7,5,1996,384,"Y",958,670,1628,2,1,1,390,0,0,72,177109
"170",7296,"StoneBr",8,5,2004,2208,"Y",2522,NA,2522,2,0,1,564,0,0,57,153909
"171",7380,"StoneBr",8,5,1998,1418,"Y",1478,NA,1478,2,0,0,495,0,0,43,162931
"172",8013,"StoneBr",8,5,1995,1587,"Y",1734,NA,1734,2,0,0,528,0,0,50,166386
"173",8923,"Gilbert",7,5,1998,384,"Y",751,631,1382,2,1,1,396,0,0,0,173719
"174",7500,"Gilbert",6,5,1998,952,"Y",952,684,1636,2,1,1,440,0,0,84,179757
"175",8803,"Gilbert",6,5,1994,707,"Y",707,809,1516,2,1,1,409,0,0,46,179007
"176",7250,"Gilbert",6,5,1993,1181,"Y",1190,0,1190,2,0,1,430,0,0,21,180370
"177",11900,"Gilbert",5,6,1977,1122,"Y",946,988,1934,2,1,1,567,0,0,176,185102
"178",13250,"NWAmes",7,6,1978,832,"Y",1154,896,2050,2,1,1,529,0,0,192,198825
"179",10928,"NWAmes",6,6,1978,1427,"Y",1671,0,1671,2,0,1,484,0,0,55,184294
"180",12388,"NWAmes",7,7,1980,1043,"Y",1539,1134,2673,2,1,1,441,0,0,84,200443
"181",11088,"NWAmes",6,5,1978,1140,"Y",1707,0,1707,2,0,1,479,0,0,0,181294
"182",7000,"Somerst",7,5,2003,926,"Y",1016,868,1884,2,1,1,581,0,0,35,174354
"183",7500,"Somerst",8,5,2000,1058,"Y",1058,816,1874,2,1,1,588,0,0,134,172023
"184",8470,"Somerst",8,5,2002,972,"Y",972,839,1811,2,1,1,565,0,0,48,181666
"185",9373,"NWAmes",5,7,1975,1621,"Y",1621,NA,1621,2,0,2,478,0,0,0,179024
"186",10140,"NWAmes",6,6,1974,1116,"Y",1116,NA,1116,2,0,1,528,0,0,0,178324
"187",11050,"NWAmes",7,5,1975,1176,"Y",1193,0,1193,2,0,1,506,0,0,0,184534
"188",7830,"NAmes",5,5,1970,1180,"Y",1180,0,1180,1,1,0,477,0,0,45,159397
"189",8510,"NAmes",5,7,1971,1043,"Y",1050,NA,1050,1,1,0,336,0,0,0,178430
"190",7038,"NAmes",4,6,1970,864,"Y",864,NA,864,1,0,0,576,0,0,0,177743
"191",9000,"NAmes",4,7,1971,864,"Y",864,0,864,1,0,0,576,0,0,0,179395
"192",1680,"BrDale",6,5,1973,483,"Y",483,504,987,1,1,0,264,0,0,0,151713
"193",1680,"BrDale",6,6,1972,483,"Y",483,504,987,1,1,0,288,0,0,0,151713
"194",2308,"NPkVill",6,5,1976,804,"Y",804,744,1548,2,1,1,440,0,0,0,168434
"195",2280,"NPkVill",7,5,1975,1057,"Y",1055,0,1055,2,0,1,440,0,0,27,153999
"196",2349,"NPkVill",6,5,1977,855,"Y",855,601,1456,2,1,1,440,0,0,28,164096
"197",2364,"NPkVill",6,5,1978,804,"Y",804,744,1548,2,1,1,440,0,0,0,166335
"198",2364,"NPkVill",6,5,1978,855,"Y",855,601,1456,2,1,1,440,0,0,0,163020
"199",2104,"NPkVill",7,6,1976,836,"Y",836,0,836,1,0,0,345,0,0,20,155862
"200",10710,"NAmes",5,7,1966,864,"Y",1120,0,1120,1,0,1,656,0,0,162,182760
"201",14257,"NridgHt",9,5,2007,1776,"Y",1794,978,2772,3,1,3,754,0,0,64,201912
"202",12350,"NridgHt",9,5,2009,1365,"Y",1365,1325,2690,2,1,1,864,0,0,197,185988
"203",12350,"NridgHt",9,5,2008,2020,"Y",2020,NA,2020,2,0,1,896,0,0,98,183778
"204",13693,"NridgHt",10,5,2007,2630,"Y",2674,NA,2674,2,1,2,762,0,0,50,170935
"205",11578,"NridgHt",9,5,2008,1736,"Y",1736,0,1736,2,0,1,834,0,0,90,184468
"206",16870,"NridgHt",8,5,2004,1782,"Y",1782,NA,1782,2,0,2,932,0,0,82,191569
"207",23303,"NridgHt",8,5,2007,1508,"Y",1508,1012,2520,2,1,1,640,0,0,273,232991
"208",10367,"NridgHt",9,5,2008,1739,"Y",1743,NA,1743,2,0,1,927,0,0,45,180980
"209",10872,"NridgHt",9,5,2006,1504,"Y",1531,NA,1531,2,0,1,700,0,0,52,164279
"210",13514,"NridgHt",9,5,2008,1774,"Y",1808,NA,1808,2,0,1,850,0,0,26,183859
"211",12878,"NridgHt",7,5,2003,1760,"Y",1760,NA,1760,2,0,1,583,0,0,190,185922
"212",15274,"NridgHt",9,5,2003,2452,"Y",2452,NA,2452,2,0,1,886,0,0,116,191742
"213",13262,"NridgHt",8,5,2003,1082,"Y",1105,1295,2400,3,1,1,730,0,0,40,199954
"214",9658,"NridgHt",8,5,2006,1598,"Y",1606,0,1606,2,0,1,871,0,0,60,180690
"215",6904,"NridgHt",6,5,2005,1358,"Y",1358,0,1358,2,0,1,484,0,0,36,163099
"216",5122,"NridgHt",6,5,2005,1306,"Y",1306,NA,1306,2,0,1,624,0,0,63,140791
"217",10307,"NridgHt",7,5,2007,1350,"Y",1358,NA,1358,2,0,1,484,0,0,26,166481
"218",14836,"NridgHt",10,5,2004,2492,"Y",2492,NA,2492,2,1,1,949,0,0,235,172080
"219",15262,"NridgHt",8,5,2003,2200,"Y",2200,NA,2200,2,1,1,685,0,0,55,191719
"220",7390,"NridgHt",9,5,2008,1884,"Y",1884,NA,1884,2,0,1,649,0,0,90,160741
"221",6472,"NridgHt",9,5,2008,1451,"Y",1456,0,1456,2,0,1,539,0,0,42,157829
"222",16770,"NridgHt",8,5,2002,1712,"Y",1712,NA,1712,2,0,1,701,0,0,183,196896
"223",3480,"NridgHt",7,5,2003,1405,"Y",1405,0,1405,2,0,1,478,0,0,36,159675
"224",10928,"Gilbert",7,5,2005,728,"Y",728,728,1456,2,1,1,390,0,0,0,182084
"225",8918,"Gilbert",6,5,2005,745,"Y",745,745,1490,2,1,1,392,0,0,20,179233
"226",3182,"Blmngtn",7,5,2005,1220,"Y",1220,0,1220,2,0,1,397,0,0,16,155774
"227",9434,"Gilbert",7,5,2004,384,"Y",744,630,1374,2,1,1,400,0,0,0,181354
"228",7984,"Gilbert",7,5,2004,868,"Y",868,762,1630,2,1,1,436,0,0,48,179605
"229",10125,"Gilbert",7,5,2004,846,"Y",846,748,1594,2,1,1,434,0,0,48,181609
"230",8965,"Gilbert",7,5,2003,782,"Y",806,683,1489,2,1,1,400,0,0,75,178221
"231",8174,"Gilbert",7,5,2003,698,"Y",698,644,1342,2,1,1,393,0,0,56,175559
"232",12891,"Gilbert",8,5,2002,870,"Y",878,1126,2004,2,1,1,644,0,0,48,200328
"233",9734,"Gilbert",7,5,2004,384,"Y",744,630,1374,2,1,0,400,0,0,0,178630
"234",8433,"Gilbert",6,5,2000,794,"Y",819,695,1514,2,1,1,394,0,0,72,177174
"235",7750,"Gilbert",7,5,1999,384,"Y",774,656,1430,2,1,1,400,0,0,0,172515
"236",15896,"Gilbert",7,5,1999,1177,"Y",1223,1089,2312,2,1,1,658,0,0,0,204032
"237",7848,"Gilbert",7,6,1999,384,"Y",774,656,1430,2,1,1,410,0,0,0,176023
"238",12720,"NoRidge",8,5,2000,1455,"Y",1466,1221,2687,2,1,2,810,0,0,30,202202
"239",10750,"NoRidge",8,5,1994,2024,"Y",2063,NA,2063,2,0,2,815,0,0,56,181734
"240",9085,"NoRidge",7,5,1995,1070,"Y",1094,967,2061,2,1,1,647,0,209,102,183982
"241",11692,"NoRidge",8,5,1993,1173,"Y",1215,1017,2232,2,1,1,623,0,0,165,188007
"242",11194,"Somerst",8,5,2008,1696,"Y",1696,0,1696,2,0,0,972,0,0,56,185922
"243",10206,"Somerst",8,5,2008,1614,"Y",1658,0,1658,2,1,1,726,0,0,44,183978
"244",10130,"Somerst",8,5,2007,1702,"Y",1702,NA,1702,2,0,1,844,0,0,69,177199
"245",9139,"Somerst",8,5,2006,1422,"Y",1432,0,1432,2,0,1,492,0,0,50,181878
"246",11128,"Somerst",9,5,2005,2458,"Y",2490,NA,2490,2,0,2,795,0,0,226,173622
"247",7993,"Somerst",7,5,2008,1436,"Y",1436,0,1436,2,0,0,529,0,0,121,180728
"248",8640,"Somerst",7,5,2008,1402,"Y",1402,0,1402,2,0,0,625,0,0,126,176477
"249",12606,"Somerst",9,5,2007,1530,"Y",1530,0,1530,2,0,1,984,0,0,136,184282
"250",7500,"Somerst",8,5,2006,1372,"Y",1448,0,1448,2,0,1,692,0,0,140,162062
"251",10603,"Somerst",8,5,2006,900,"Y",909,886,1795,2,1,1,782,0,0,45,182550
"252",8125,"Somerst",8,5,2008,1836,"Y",1836,0,1836,2,0,1,517,0,0,175,180987
"253",10625,"Somerst",7,5,2006,1652,"Y",1662,NA,1662,2,0,1,711,0,0,120,178173
"254",8736,"Somerst",7,5,2003,1553,"Y",1553,NA,1553,2,0,0,588,0,0,88,179980
"255",8127,"Somerst",7,5,2003,812,"Y",812,841,1653,2,1,0,628,0,0,45,173257
"256",9605,"SawyerW",7,6,2007,1218,"Y",1218,0,1218,1,1,0,576,0,0,178,177271
"257",7500,"SawyerW",7,5,2006,1141,"Y",1141,NA,1141,1,1,0,484,0,0,0,175338
"258",7500,"SawyerW",6,5,2004,1158,"Y",1158,0,1158,1,1,0,0,0,0,50,177548
"259",10628,"SawyerW",7,5,2004,835,"Y",871,941,1812,2,1,0,478,0,0,91,175969
"260",10141,"SawyerW",8,5,2004,1512,"Y",1512,0,1512,2,0,0,845,0,0,36,175011
"261",13072,"SawyerW",7,5,2004,1114,"Y",1114,0,1114,1,1,0,576,0,0,102,185199
"262",13072,"SawyerW",5,5,2004,1114,"Y",1114,0,1114,1,1,0,0,0,0,39,188514
"263",12450,"SawyerW",5,5,2003,1114,"Y",1114,NA,1114,2,0,0,576,0,0,42,185080
"264",7328,"SawyerW",7,5,2008,1450,"Y",1450,0,1450,2,0,0,788,0,0,93,157304
"265",11492,"SawyerW",7,5,1996,913,"Y",913,1209,2122,2,1,1,559,0,0,74,194260
"266",7703,"SawyerW",6,6,1992,816,"Y",833,897,1730,2,1,0,528,0,0,91,181262
"267",7175,"SawyerW",6,5,1990,1332,"Y",1332,0,1332,2,0,0,542,0,0,60,157003
"268",9109,"SawyerW",7,5,1994,754,"Y",754,786,1540,2,1,0,495,0,0,32,182924
"269",10274,"SawyerW",6,7,1986,676,"Y",698,702,1400,2,1,0,465,0,0,48,181902
